step,desired_x,desired_y,actual_x,actual_y,theta1_rad,theta2_rad,error
0,1.2999999999999998,0.55,1.2999999999999996,0.55,-0.18550834586278292,1.348661496138425,2.220446049250313e-16
1,1.2995203371641009,0.5646540677480243,1.2995203371641009,0.5646540677480243,-0.17188335930854243,1.338983664051164,0.0
2,1.2980826633788956,0.579267969714943,1.2980826633788958,0.579267969714943,-0.1586240389995079,1.3306381788442134,2.220446049250313e-16
3,1.2956909192082982,0.5938016502112647,1.2956909192082982,0.5938016502112649,-0.1457562748777128,1.323653504005224,1.1102230246251565e-16
4,1.292351660256832,0.6082152734289726,1.292351660256832,0.6082152734289727,-0.133302971264677,1.3180524040593686,1.1102230246251565e-16
5,1.2880740392011738,0.6224693326287059,1.2880740392011736,0.6224693326287059,-0.12128395585465263,1.3138516215753695,2.220446049250313e-16
6,1.2828697807033036,0.6365247584249853,1.2828697807033036,0.6365247584249853,-0.10971592466964719,1.3110616352077733,0.0
7,1.2767531492740205,0.6503430258726841,1.2767531492740205,0.6503430258726841,-0.0986124278285056,1.3096865094839867,0.0
8,1.2697409101749102,0.6638862600612241,1.2697409101749102,0.6638862600612241,-0.08798389948044932,1.309723843663599,0.0
9,1.2618522834659287,0.6771173399270731,1.2618522834659287,0.677117339927073,-0.07783773350993717,1.311164823085257,1.1102230246251565e-16
10,1.2531088913245534,0.6900000000000001,1.2531088913245534,0.6900000000000001,-0.06817840475535997,1.3139943722407494,0.0
11,1.2435346987808984,0.7024989298042076,1.2435346987808984,0.7024989298042076,-0.05900763363326289,1.318191404675522,0.0
12,1.2331559480312315,0.7145798706418925,1.2331559480312315,0.7145798706418924,-0.05032459035546366,1.323729161005333,1.1102230246251565e-16
13,1.2220010865099398,0.7262097094939546,1.2220010865099398,0.7262097094939545,-0.042126133485430595,1.330575623120021,1.1102230246251565e-16
14,1.210100688917088,0.7373565697804804,1.2101006889170878,0.7373565697804805,-0.03440707649100305,1.3386939902140738,2.482534153247273e-16
15,1.1974873734152915,0.7479898987322333,1.1974873734152913,0.7479898987322335,-0.027160475265053385,1.3480432007553382,3.1401849173675503e-16
16,1.1841957122256004,0.7580805511336705,1.1841957122256004,0.7580805511336703,-0.020377929317057064,1.3585784839064163,1.1102230246251565e-16
17,1.170262136867443,0.7676008692079519,1.170262136867443,0.7676008692079519,-0.014049889463290555,1.370251924195052,0.0
18,1.1557248383023655,0.7765247584249854,1.1557248383023653,0.7765247584249854,-0.008165965308260303,1.3830130242709069,2.220446049250313e-16
19,1.1406236622552595,0.7848277590247188,1.1406236622552595,0.7848277590247189,-0.0027152265413399324,1.3968092522219084,1.1102230246251565e-16
20,1.125,0.7924871130596429,1.125,0.7924871130596428,0.0023135070132705993,1.4115865619669057,1.1102230246251565e-16
21,1.1088966749088414,0.799481826772743,1.1088966749088414,0.7994818267727429,0.006931390642438751,1.4272898775051066,1.1102230246251565e-16
22,1.09235782507653,0.8057927281399283,1.09235782507653,0.8057927281399282,0.011149298300517585,1.4438635341159223,1.1102230246251565e-16
23,1.075428782340855,0.8114025194192165,1.075428782340855,0.8114025194192164,0.01497758649872738,1.461251671823427,1.1102230246251565e-16
24,1.0581559480312315,0.816295824562643,1.0581559480312315,0.816295824562643,0.018425879648474752,1.4793985784608905,0.0
25,1.0405866657858822,0.8204592313609391,1.0405866657858822,0.820459231360939,0.021502877201327264,1.4982489814222457,1.1102230246251565e-16
26,1.0227690917862158,0.8238813282054657,1.0227690917862158,0.8238813282054657,0.02421618229092648,1.5177482886320903,0.0
27,1.0047520627640807,0.8265527353666386,1.0047520627640807,0.8265527353666386,0.02657215109066069,1.5378427803954067,0.0
28,0.9865849621436786,0.8284661307031166,0.9865849621436786,0.8284661307031167,0.02857576175111909,1.558479754616068,1.1102230246251565e-16
29,0.9683175846850303,0.8296162697312808,0.9683175846850302,0.8296162697312808,0.030230501562371948,1.5796076284280973,1.1102230246251565e-16
30,0.9500000000000001,0.8300000000000001,0.9500000000000002,0.8299999999999998,0.03153827088353722,1.601175999603416,2.482534153247273e-16
